City,Count,State,County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,120107,11,001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,95670,24,003,005,510,013,025,027,035,,,,,,,,,,,,,,,,,,,,,
Gilbert (Phoenix),3946,04,013,021,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentonville,895,05,007,143,087,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,82239,06,067,113,061,017,101,115,007,,,,,,,,,,,,,,,,,,,,,
San Francisco,58753,06,013,041,001,075,081,085,055,095,097,,,,,,,,,,,,,,,,,,,
Long Beach (LA),38793,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
Costa Mesa (LA),3240,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
View Park-Windsor Hills (LA),37459,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
Redwood City (Bay Area),29642,06,013,041,001,075,081,085,055,095,097,,,,,,,,,,,,,,,,,,,
Willows,26663,06,007,021,,,,,,,,,,,,,,,,,,,,,,,,,,
Bostonia (San Diego),21657,06,073,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Hollywood (LA),18910,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,17290,06,029,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Cajon (SD),8557,06,073,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modesto,3755,06,099,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowland Heights (LA),1083,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
Downey (LA),819,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
Hawthorne (LA),817,06,037,059,065,071,111,,,,,,,,,,,,,,,,,,,,,,,
Livermore (Bay Area),416,06,013,041,001,075,081,085,055,095,097,,,,,,,,,,,,,,,,,,,
Santa Maria (Santa Barbara),412,06,083,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,13414,08,041,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial (Denver),3468,08,001,005,013,014,031,035,059,039,019,047,093,,,,,,,,,,,,,,,,,
West Haven,4214,09,009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watertown Town,4138,09,005,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Orange (Daytona Beach),15573,12,127,035,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon (Tampa),8081,12,057,103,101,119,053,,,,,,,,,,,,,,,,,,,,,,,
Delray Beach (Miami),6741,12,086,011,099,,,,,,,,,,,,,,,,,,,,,,,,,
Orange City (Daytona Beach),1449,12,127,035,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainesville,1401,12,001,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Palm Beach (Miami),78,12,086,011,099,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,555,13,057,063,067,089,097,113,117,121,135,151,223,247,013,015,035,045,077,085,143,149,159,171,199,217,227,231,255,297
South Fulton (Atlanta),47,13,057,063,067,089,097,113,117,121,135,151,223,247,013,015,035,045,077,085,143,149,159,171,199,217,227,231,255,297
Chicago,17660,17,031,043,097,089,111,197,063,,,,,,,,,,,,,,,,,,,,,
Rockford,595,17,201,007,,,,,,,,,,,,,,,,,,,,,,,,,,
McCordsville (Indianapolis),146,18,097,057,063,059,081,109,011,145,095,013,,,,,,,,,,,,,,,,,,
Sioux City,821,19,193,149,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City (Kansas),10427,20,091,209,103,121,,,,,,,,,,,,,,,,,,,,,,,,
"Olathe (KC, Kansas)",699,20,091,209,103,121,,,,,,,,,,,,,,,,,,,,,,,,
Hays,150,20,051,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington DC (Maryland),,24,031,033,017,,,,,,,,,,,,,,,,,,,,,,,,,
Elkridge (Baltimore),18458,24,510,005,003,027,025,013,035,,,,,,,,,,,,,,,,,,,,,
Linthicum (Baltimore),6443,24,510,005,003,027,025,013,035,,,,,,,,,,,,,,,,,,,,,
Taneytown (Balitmore),804,24,510,005,003,027,025,013,035,,,,,,,,,,,,,,,,,,,,,
Cambridge (Boston),42467,25,025,017,021,009,023,,,,,,,,,,,,,,,,,,,,,,,
Somerville (Boston),33422,25,025,017,021,009,023,,,,,,,,,,,,,,,,,,,,,,,
Boston,19260,25,025,017,021,009,023,,,,,,,,,,,,,,,,,,,,,,,
New Bedford,105,25,005,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,94,25,013,015,,,,,,,,,,,,,,,,,,,,,,,,,,
Southfield (Detroit),35615,26,163,125,099,087,093,147,157,049,161,,,,,,,,,,,,,,,,,,,
Dearborn (Detroit),15164,26,163,125,099,087,093,147,157,049,161,,,,,,,,,,,,,,,,,,,
Grand Rapids,9069,26,081,139,015,117,121,,,,,,,,,,,,,,,,,,,,,,,
Benton Harbor,436,26,021,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Cloud,670,27,145,009,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City (Missouri),10427,29,095,047,165,037,177,107,049,,,,,,,,,,,,,,,,,,,,,
"North Bergen (NY, New Jersey)",3242,34,017,003,013,031,039,041,027,023,025,035,037,019,029,,,,,,,,,,,,,,,
"Woodbridge (NYC, New Jersey)",316,34,017,003,013,031,039,041,027,023,025,035,037,019,029,,,,,,,,,,,,,,,
Trenton,39,34,021,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,16441,36,061,005,047,081,085,059,103,119,087,079,071,,,,,,,,,,,,,,,,,
Ithaca,5197,36,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison (NYC),90,36,061,005,047,081,085,059,103,119,087,079,071,,,,,,,,,,,,,,,,,
Shelby (Charlotte),5567,37,119,179,071,025,097,159,109,045,057,,,,,,,,,,,,,,,,,,,
Kernersville,1684,37,067,169,059,197,081,,,,,,,,,,,,,,,,,,,,,,,
Hamilton (Cincinnati),5301,39,061,017,165,025,015,027,,,,,,,,,,,,,,,,,,,,,,
Dayton,197,39,113,057,109,,,,,,,,,,,,,,,,,,,,,,,,,
Lansdowne (Philadelphia),7703,42,101,045,091,029,017,,,,,,,,,,,,,,,,,,,,,,,
Reading,3349,42,011,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Highlands (Philiadelphia),2149,42,101,045,091,029,017,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,844,42,101,045,091,029,017,,,,,,,,,,,,,,,,,,,,,,,
West Warwick (Providence),1640,44,007,003,001,009,,,,,,,,,,,,,,,,,,,,,,,,
Collegedale (Chattanooga),1919,47,065,115,153,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,8194,48,029,091,187,493,325,013,019,259,,,,,,,,,,,,,,,,,,,,
Temple,826,48,027,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Valley (San Antonio),722,48,029,091,187,493,325,013,019,259,,,,,,,,,,,,,,,,,,,,
Round Rock,627,48,453,491,209,021,055,,,,,,,,,,,,,,,,,,,,,,,
Frisco (DFW),423,48,085,121,113,397,439,139,251,257,367,497,231,221,425,349,,,,,,,,,,,,,,
Bedford (DFW),167,48,085,121,113,397,439,139,251,257,367,497,231,221,425,349,,,,,,,,,,,,,,
Provo,5036,49,049,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,167,50,007,011,013,,,,,,,,,,,,,,,,,,,,,,,,,
Washington DC (Virgina),,51,013,059,107,153,061,157,177,179,187,069,510,600,610,683,685,630,840,,,,,,,,,,,
Richmond,3783,51,760,087,041,085,570,670,730,075,145,127,036,007,053,101,149,,,,,,,,,,,,,
Staunton,708,51,015,790,820,,,,,,,,,,,,,,,,,,,,,,,,,
Redmond (Seattle Metro),43532,53,033,061,053,,,,,,,,,,,,,,,,,,,,,,,,,
Shoreline (Seattle),41166,53,033,061,053,,,,,,,,,,,,,,,,,,,,,,,,,
Beckley,499,54,081,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wausau,974,55,073,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
